FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000090,2015,Rank of average rank,,73,"d. Education, Skills and Training Domain"
E07000091,2015,Rank of average rank,,214,"d. Education, Skills and Training Domain"
E07000083,2015,Rank of average rank,,244,"d. Education, Skills and Training Domain"
E07000081,2015,Rank of average rank,,90,"d. Education, Skills and Training Domain"
E07000084,2015,Rank of average rank,,222,"d. Education, Skills and Training Domain"
E07000111,2015,Rank of average rank,,253,"d. Education, Skills and Training Domain"
E07000112,2015,Rank of average rank,,97,"d. Education, Skills and Training Domain"
E07000089,2015,Rank of average rank,,319,"d. Education, Skills and Training Domain"
E07000082,2015,Rank of average rank,,273,"d. Education, Skills and Training Domain"
E07000122,2015,Rank of average rank,,54,"d. Education, Skills and Training Domain"
E07000137,2015,Rank of average rank,,43,"d. Education, Skills and Training Domain"
E07000131,2015,Rank of average rank,,277,"d. Education, Skills and Training Domain"
E07000138,2015,Rank of average rank,,82,"d. Education, Skills and Training Domain"
E07000140,2015,Rank of average rank,,10,"d. Education, Skills and Training Domain"
E07000085,2015,Rank of average rank,,298,"d. Education, Skills and Training Domain"
E07000141,2015,Rank of average rank,,228,"d. Education, Skills and Training Domain"
E07000136,2015,Rank of average rank,,4,"d. Education, Skills and Training Domain"
E07000086,2015,Rank of average rank,,210,"d. Education, Skills and Training Domain"
E07000074,2015,Rank of average rank,,80,"d. Education, Skills and Training Domain"
E07000087,2015,Rank of average rank,,278,"d. Education, Skills and Training Domain"
E07000110,2015,Rank of average rank,,200,"d. Education, Skills and Training Domain"
E07000073,2015,Rank of average rank,,21,"d. Education, Skills and Training Domain"
E07000079,2015,Rank of average rank,,279,"d. Education, Skills and Training Domain"
E07000080,2015,Rank of average rank,,103,"d. Education, Skills and Training Domain"
E07000088,2015,Rank of average rank,,50,"d. Education, Skills and Training Domain"
E07000078,2015,Rank of average rank,,270,"d. Education, Skills and Training Domain"
E07000077,2015,Rank of average rank,,268,"d. Education, Skills and Training Domain"
E07000116,2015,Rank of average rank,,280,"d. Education, Skills and Training Domain"
