LGD2014NAME,SOA2001,rank
Antrim and Newtownabbey,95AA01S1,516
Antrim and Newtownabbey,95AA01S2,749
Antrim and Newtownabbey,95AA01S3,658
Antrim and Newtownabbey,95AA02W1,439
Antrim and Newtownabbey,95AA03W1,259
Antrim and Newtownabbey,95AA04W1,594
Antrim and Newtownabbey,95AA05W1,613
Antrim and Newtownabbey,95AA06S1,574
Antrim and Newtownabbey,95AA06S2,565
Antrim and Newtownabbey,95AA07W1,569
Antrim and Newtownabbey,95AA08W1,178
Antrim and Newtownabbey,95AA09W1,330
Antrim and Newtownabbey,95AA10W1,285
Antrim and Newtownabbey,95AA11S1,670
Antrim and Newtownabbey,95AA11S2,801
Antrim and Newtownabbey,95AA12W1,706
Antrim and Newtownabbey,95AA13S1,643
Antrim and Newtownabbey,95AA13S2,676
Antrim and Newtownabbey,95AA14W1,604
Antrim and Newtownabbey,95AA15S1,623
Antrim and Newtownabbey,95AA15S2,247
Antrim and Newtownabbey,95AA16W1,308
Antrim and Newtownabbey,95AA17W1,420
Antrim and Newtownabbey,95AA18W1,758
Antrim and Newtownabbey,95AA19W1,437
Ards and North Down,95BB01S1,744
Ards and North Down,95BB01S2,701
Ards and North Down,95BB02W1,240
Ards and North Down,95BB03S1,223
Ards and North Down,95BB03S2,374
Ards and North Down,95BB04S1,467
Ards and North Down,95BB04S2,743
Ards and North Down,95BB05S1,506
Ards and North Down,95BB05S2,548
Ards and North Down,95BB06W1,99
Ards and North Down,95BB07S1,325
Ards and North Down,95BB07S2,696
Ards and North Down,95BB08S1,303
Ards and North Down,95BB08S2,741
Ards and North Down,95BB09S1,704
Ards and North Down,95BB09S2,795
Ards and North Down,95BB10S1,508
Ards and North Down,95BB10S2,750
Ards and North Down,95BB11S1,199
Ards and North Down,95BB11S2,597
Ards and North Down,95BB12S1,97
Ards and North Down,95BB12S2,683
Ards and North Down,95BB13S1,339
Ards and North Down,95BB13S2,345
Ards and North Down,95BB13S3,721
Ards and North Down,95BB14S1,564
Ards and North Down,95BB14S2,719
Ards and North Down,95BB15S1,448
Ards and North Down,95BB15S2,263
