dzlabel,lalabel,rank
S01006506,Aberdeen City,5272
S01006507,Aberdeen City,4838
S01006508,Aberdeen City,6321
S01006509,Aberdeen City,5363
S01006510,Aberdeen City,4049
S01006511,Aberdeen City,6668
S01006512,Aberdeen City,5865
S01006513,Aberdeen City,5845
S01006514,Aberdeen City,6808
S01006515,Aberdeen City,6322
S01006516,Aberdeen City,6259
S01006517,Aberdeen City,5843
S01006518,Aberdeen City,6607
S01006519,Aberdeen City,6404
S01006520,Aberdeen City,6456
S01006521,Aberdeen City,6517
S01006522,Aberdeen City,6785
S01006523,Aberdeen City,6496
S01006524,Aberdeen City,3982
S01006525,Aberdeen City,6333
S01006526,Aberdeen City,2599
S01006527,Aberdeen City,1957
S01006528,Aberdeen City,3912
S01006529,Aberdeen City,4128
S01006530,Aberdeen City,2531
S01006531,Aberdeen City,2240
S01006532,Aberdeen City,6177
S01006533,Aberdeen City,6930
S01006534,Aberdeen City,6908
S01006535,Aberdeen City,6796
S01006536,Aberdeen City,6693
S01006537,Aberdeen City,6538
S01006538,Aberdeen City,6529
S01006539,Aberdeen City,6823
S01006540,Aberdeen City,6427
S01006541,Aberdeen City,6824
S01006542,Aberdeen City,6891
S01006543,Aberdeen City,6419
S01006544,Aberdeen City,6804
S01006545,Aberdeen City,6486
S01006546,Aberdeen City,6884
S01006547,Aberdeen City,3598
S01006548,Aberdeen City,6570
S01006549,Aberdeen City,6766
S01006550,Aberdeen City,6892
S01006551,Aberdeen City,1901
S01006552,Aberdeen City,6047
S01006553,Aberdeen City,4820
S01006554,Aberdeen City,4290
S01006555,Aberdeen City,1605
S01006556,Aberdeen City,2592
S01006557,Aberdeen City,1757
S01006558,Aberdeen City,6587
S01006559,Aberdeen City,6958
S01006560,Aberdeen City,6817
S01006561,Aberdeen City,6975
S01006562,Aberdeen City,5133
S01006563,Aberdeen City,5484
S01006564,Aberdeen City,2834
S01006565,Aberdeen City,3870
S01006566,Aberdeen City,6265
S01006567,Aberdeen City,2616
S01006568,Aberdeen City,6507
S01006569,Aberdeen City,6303
S01006570,Aberdeen City,6946
S01006571,Aberdeen City,6244
S01006572,Aberdeen City,6889
S01006573,Aberdeen City,6949
S01006574,Aberdeen City,6913
S01006575,Aberdeen City,6956
S01006576,Aberdeen City,6897
S01006577,Aberdeen City,6850
S01006578,Aberdeen City,5441
S01006579,Aberdeen City,6328
S01006580,Aberdeen City,6522
S01006581,Aberdeen City,6955
S01006582,Aberdeen City,3356
S01006583,Aberdeen City,6168
S01006584,Aberdeen City,6802
S01006585,Aberdeen City,1842
S01006586,Aberdeen City,3290
S01006587,Aberdeen City,1506
S01006588,Aberdeen City,4362
S01006589,Aberdeen City,3514
S01006590,Aberdeen City,3220
S01006591,Aberdeen City,4041
S01006592,Aberdeen City,6803
S01006593,Aberdeen City,6795
S01006594,Aberdeen City,6487
S01006595,Aberdeen City,6095
S01006596,Aberdeen City,6482
S01006597,Aberdeen City,3956
S01006598,Aberdeen City,6772
S01006599,Aberdeen City,4577
S01006600,Aberdeen City,6291
S01006601,Aberdeen City,5426
S01006602,Aberdeen City,6923
S01006603,Aberdeen City,1908
S01006604,Aberdeen City,3246
S01006605,Aberdeen City,1920
S01006606,Aberdeen City,4734
S01006607,Aberdeen City,3677
S01006608,Aberdeen City,5354
S01006609,Aberdeen City,3473
S01006610,Aberdeen City,2518
S01006611,Aberdeen City,2730
S01006612,Aberdeen City,4796
S01006613,Aberdeen City,6415
S01006614,Aberdeen City,6585
S01006615,Aberdeen City,6525
S01006657,Aberdeen City,2574
S01006616,Aberdeen City,6277
S01006658,Aberdeen City,2307
S01006617,Aberdeen City,5404
S01006659,Aberdeen City,6368
S01006618,Aberdeen City,6232
S01006660,Aberdeen City,3344
S01006619,Aberdeen City,5456
S01006661,Aberdeen City,5552
S01006620,Aberdeen City,5304
S01006662,Aberdeen City,2796
S01006621,Aberdeen City,5027
S01006663,Aberdeen City,6664
S01006622,Aberdeen City,6014
S01006664,Aberdeen City,4987
S01006623,Aberdeen City,3012
S01006665,Aberdeen City,6302
S01006624,Aberdeen City,2963
S01006666,Aberdeen City,948
S01006625,Aberdeen City,3606
S01006667,Aberdeen City,725
S01006626,Aberdeen City,1814
S01006668,Aberdeen City,5595
S01006627,Aberdeen City,1343
S01006669,Aberdeen City,3732
S01006628,Aberdeen City,2932
S01006670,Aberdeen City,4194
S01006629,Aberdeen City,1283
S01006671,Aberdeen City,6142
S01006630,Aberdeen City,1599
S01006672,Aberdeen City,2072
S01006631,Aberdeen City,1497
S01006673,Aberdeen City,2562
S01006632,Aberdeen City,1317
S01006674,Aberdeen City,1299
S01006633,Aberdeen City,1122
S01006675,Aberdeen City,1234
S01006634,Aberdeen City,500
S01006676,Aberdeen City,1065
S01006635,Aberdeen City,2055
S01006677,Aberdeen City,998
S01006636,Aberdeen City,675
S01006678,Aberdeen City,1962
S01006637,Aberdeen City,3440
S01006679,Aberdeen City,5617
S01006638,Aberdeen City,2766
S01006680,Aberdeen City,1399
S01006639,Aberdeen City,1835
S01006681,Aberdeen City,1753
S01006640,Aberdeen City,6488
S01006682,Aberdeen City,1535
S01006641,Aberdeen City,3641
S01006683,Aberdeen City,1806
S01006642,Aberdeen City,4957
S01006684,Aberdeen City,545
S01006643,Aberdeen City,5566
S01006685,Aberdeen City,1352
S01006644,Aberdeen City,4291
S01006686,Aberdeen City,2845
S01006645,Aberdeen City,1260
S01006687,Aberdeen City,2794
S01006646,Aberdeen City,4907
S01006688,Aberdeen City,4712
S01006647,Aberdeen City,2606
S01006689,Aberdeen City,6969
S01006648,Aberdeen City,4379
S01006690,Aberdeen City,4338
S01006649,Aberdeen City,3043
S01006691,Aberdeen City,6208
S01006650,Aberdeen City,3767
S01006692,Aberdeen City,5644
