GSSCode,Name,WIMDRank,
W01000001,Aberffraw & Rhosneigr 1,861,
W01000002,Aberffraw & Rhosneigr 2,1153,
W01000003,Amlwch Port,500,
W01000004,Amlwch Rural,1126,
W01000005,Beaumaris,1231,
W01000006,Bodffordd,933,
W01000007,Bodorgan,972,
W01000008,Braint,1781,
W01000009,Bryngwran,742,
W01000010,Brynteg,1485,
W01000011,Cadnant (Isle of Anglesey),1634,
W01000012,Cefni,1409,
W01000013,Cwm Cadnant,1673,
W01000014,Cyngar,1031,
W01000015,Gwyngyll,1733,
W01000016,Holyhead Town,209,
W01000017,Kingsland,326,
W01000018,Llanbadrig,980,
W01000019,Llanbedrgoch,1335,
W01000020,Llanddyfnan,1375,
W01000021,Llaneilian,969,
W01000022,Llanfaethlu,721,
W01000023,Llanfair-yn-Neubwll 1,873,
W01000024,Llanfair-yn-Neubwll 2,915,
W01000025,Llanfihangel Ysgeifiog,1115,
W01000026,Llangoed,943,
W01000027,Llanidan,1017,
W01000028,Llannerch-y-medd,640,
W01000029,London Road,238,
W01000030,Maeshyfryd,376,
W01000031,Mechell,852,
W01000032,Moelfre,941,
W01000033,Morawelon,168,
W01000034,Parc a'r Mynydd,1213,
W01000035,Pentraeth,1057,
W01000036,Porthyfelin 1,268,
W01000037,Porthyfelin 2,1018,
W01000038,Rhosyr,664,
W01000039,Trearddur 1,1312,
W01000040,Trearddur 2,1246,
W01000041,Tudur,262,
W01000042,Tysilio,1574,
W01000043,Valley 1,954,
W01000044,Valley 2,1739,
W01000047,Abererch,1145,
W01000048,Abermaw 1,811,
W01000049,Abermaw 2,1161,
W01000050,Arllechwedd,1045,
W01000051,Bala,1151,
W01000052,Bethel & Cwm-y-Glo 1,1573,
W01000053,Bethel & Cwm-y-Glo 2,1444,
W01000054,Bontnewydd,1489,
W01000056,Bowydd and Rhiw,635,
W01000057,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,1209,
W01000059,Cadnant (Gwynedd),386,
W01000060,Corris/Mawddwy,934,
W01000061,Criccieth,1685,
W01000062,Deiniol,1023,
W01000063,Deiniolen,671,
W01000064,Dewi,1093,
W01000065,Diffwys and Maenofferen,755,
W01000066,Dolbenmaen,910,
W01000067,Dolgellau North,1242,
W01000068,Dolgellau South,1029,
W01000069,Dyffryn Ardudwy,1180,
W01000070,Efail-newydd/Buan,1258,
W01000071,Gerlan,892,
W01000072,Glyder,1453,
W01000073,Groeslon,1395,
W01000074,Harlech,1176,
W01000075,Hendre (Gwynedd),874,
W01000076,Hirael & Garth 1,1450,
W01000077,Hirael & Garth 2,1005,
W01000078,Llanaelhaearn,622,
W01000079,Llanbedr,1196,
W01000080,Llanbedrog & Abersoch,1417,
W01000081,Llanberis,1208,
W01000082,Llandderfel & Llanuwchllyn 1,1058,
W01000083,Llandderfel & Llanuwchllyn 2,1333,
W01000084,Llanengan,1392,
W01000085,Llangelynin,679,
W01000086,Llanllyfni & Clynnog,744,
W01000087,Llanrug,1555,
W01000088,Llanwnda,1285,
W01000089,Llanystumdwy,1235,
W01000090,Marchog 1,157,
W01000091,Marchog 2,105,
W01000092,Menai (Bangor),1696,
W01000093,Menai (Caernarfon),1548,
W01000094,Morfa Nefyn,1354,
W01000095,Nefyn,1389,
W01000096,Ogwen 1,835,
W01000097,Ogwen 2,767,
W01000098,Peblig (Caernarfon),103,
W01000099,Penisarwaun,1266,
W01000100,Penrhyndeudraeth 1,1436,
W01000101,Penrhyndeudraeth 2,1374,
W01000102,Pentir 1,1615,
W01000103,Pentir 2,1095,
W01000104,Penygroes (Gwynedd),944,
W01000105,Porthmadog East,926,
W01000106,Porthmadog West,1480,
W01000107,Porthmadog - Tremadog,1033,
W01000108,Pwllheli North,987,
W01000109,Pwllheli South,841,
W01000110,Seiont 1,1116,
W01000111,Seiont 2,649,
W01000112,Talysarn,596,
W01000113,Teigl,890,
W01000114,Trawsfynydd,1154,
W01000115,Tregarth & Mynydd Llandygai,1338,
W01000116,Tywyn 1,1447,
W01000117,Tywyn 2,799,
W01000118,Waunfawr,1188,
W01000119,Y Felinheli,1425,
W01000121,Betws-y-Coed,1207,
W01000122,Betws yn Rhos,1215,
W01000123,Bryn,966,
W01000124,Caerhun,1339,
W01000125,Capelulo,1319,
W01000126,Colwyn 1,1429,
W01000127,Colwyn 2,522,
W01000128,Colwyn 3,1175,
W01000129,Conwy 1,732,
W01000130,Conwy 2,1496,
W01000131,Conwy 3,1292,
W01000132,Craig-y-Don 1,790,
W01000133,Craig-y-Don 2,1640,
W01000134,Crwst,897,
W01000135,Deganwy 1,1834,
W01000136,Deganwy 2,1276,
W01000137,Eglwysbach,1357,
W01000138,Eirias 1,829,
W01000139,Eirias 2,1678,
W01000140,Gele 1,623,
W01000141,Gele 2,1567,
W01000142,Gele 3,1717,
W01000143,Glyn (Conwy) 1,531,
W01000144,Glyn (Conwy) 2,110,
W01000145,Glyn (Conwy) 3,752,
W01000146,Gogarth 1,712,
W01000147,Gogarth 2,1167,
W01000148,Gower (Conwy),1293,
W01000149,Kinmel Bay 1,277,
W01000150,Kinmel Bay 2,832,
W01000151,Kinmel Bay 3,381,
W01000152,Kinmel Bay 4,610,
W01000153,Llanddulas,1204,
W01000154,Llandrillo yn Rhos 1,1610,
W01000155,Llandrillo yn Rhos 2,1482,
W01000156,Llandrillo yn Rhos 3,1510,
W01000157,Llandrillo yn Rhos 4,494,
W01000158,Llandrillo yn Rhos 5,1621,
W01000159,Llangernyw,1044,
W01000162,Llansannan,1149,
W01000163,Llysfaen 1,172,
W01000164,Llysfaen 2,957,
W01000165,Marl 1,1832,
W01000166,Marl 2,831,
W01000167,Mochdre,468,
W01000168,Mostyn (Conwy) 1,528,
W01000169,Mostyn (Conwy) 2,489,
W01000170,Pandy,1364,
W01000171,Pant-yr-afon/Penmaenan 1,912,
W01000172,Pant-yr-afon/Penmaenan 2,498,
W01000173,Penrhyn 1,1740,
W01000174,Penrhyn 2,1823,
W01000175,Penrhyn 3,1807,
W01000176,Pensarn 1,624,
W01000177,Pensarn 2,1355,
W01000178,Pentre Mawr 1,362,
W01000179,Pentre Mawr 2,1665,
W01000180,Rhiw 1,1751,
W01000181,Rhiw 2,1817,
W01000182,Rhiw 3,240,
W01000183,Rhiw 4,1428,
W01000184,Towyn,267,
W01000185,Trefriw,1106,
W01000186,Tudno 1,351,
W01000187,Tudno 2,113,
W01000188,Tudno 3,1464,
W01000189,Uwch Conwy,1105,
W01000190,Uwchaled,1200,
W01000191,Bodelwyddan,898,
W01000192,Corwen 1,1002,
W01000193,Corwen 2,846,
W01000194,Denbigh Central,701,
W01000195,Denbigh Lower 1,1780,
W01000196,Denbigh Lower 2,1718,
W01000197,Denbigh Lower 3,1620,
W01000198,Denbigh Upper/Henllan 1,163,
W01000199,Denbigh Upper/Henllan 2,720,
W01000200,Dyserth 1,1484,
W01000201,Dyserth 2,751,
W01000202,Efenechtyd,1518,
W01000203,Llanarmon-yn-Ial/Llandegla,1578,
W01000204,Llanbedr Dyffryn Clwyd/Llangynhafal,1663,
W01000205,Llandrillo,869,
W01000206,Llandyrnog,1387,
W01000207,Llanfair Dyffryn Clwyd/Gwyddelwern,1511,
W01000208,Llangollen 1,862,
W01000209,Llangollen 2,1071,
W01000210,Llangollen 3,1587,
W01000211,Llanrhaeadr-yng-Nghinmeirch,1341,
W01000212,Prestatyn Central 1,1543,
W01000213,Prestatyn Central 2,288,
W01000214,Prestatyn East 1,458,
W01000215,Prestatyn East 2,1779,
W01000216,Prestatyn East 3,652,
W01000217,Prestatyn Meliden,808,
W01000218,Prestatyn North 1,786,
W01000219,Prestatyn North 2,959,
W01000220,Prestatyn North 3,647,
W01000221,Prestatyn South West 1,633,
W01000222,Prestatyn South West 2,1039,
W01000223,Rhuddlan 1,1522,
W01000224,Rhuddlan 2,1332,
W01000225,Rhuddlan 3,1164,
W01000226,Rhyl East 1,389,
W01000227,Rhyl East 2,1234,
W01000228,Rhyl East 3,99,
W01000229,Rhyl South 1,549,
W01000230,Rhyl South 2,1343,
W01000231,Rhyl South East 1,894,
W01000232,Rhyl South East 2,1066,
W01000233,Rhyl South East 3,1157,
W01000234,Rhyl South East 4,182,
W01000235,Rhyl South East 5,1527,
W01000236,Rhyl South West 1,100,
W01000237,Rhyl South West 2,20,
W01000238,Rhyl South West 3,655,
W01000239,Rhyl West 1,11,
W01000240,Rhyl West 2,2,
W01000241,Rhyl West 3,19,
W01000242,Ruthin 1,1060,
W01000243,Ruthin 2,1593,
W01000244,Ruthin 3,1850,
W01000245,St. Asaph East,1631,
W01000246,St. Asaph West,783,
W01000247,Trefnant,1146,
W01000248,Tremeirchion,1340,
W01000249,Argoed (Flintshire) 1,1843,
W01000250,Argoed (Flintshire) 2,1847,
W01000251,Aston 1,1162,
W01000252,Aston 2,1399,
W01000253,Bagillt East,866,
W01000254,Bagillt West,474,
W01000255,Broughton North East,1329,
W01000256,Broughton South 1,1216,
W01000257,Broughton South 2,1735,
W01000258,Brynford,1372,
W01000259,Buckley Bistre East 1,734,
W01000260,Buckley Bistre East 2,1505,
W01000261,Buckley Bistre West 1,1439,
W01000262,Buckley Bistre West 2,617,
W01000263,Buckley Bistre West 3,451,
W01000264,Buckley Mountain 1,1566,
W01000265,Buckley Mountain 2,1598,
W01000266,Buckley Pentrobin 1,1314,
W01000267,Buckley Pentrobin 2,1468,
W01000268,Buckley Pentrobin 3,1755,
W01000269,Caergwrle,1150,
W01000270,Caerwys 1,1568,
W01000271,Caerwys 2,1316,
W01000272,Cilcain,1512,
W01000273,Connah's Quay Central 1,669,
W01000274,Connah's Quay Central 2,193,
W01000275,Connah's Quay Golftyn 1,1274,
W01000276,Connah's Quay Golftyn 2,1474,
W01000277,Connah's Quay Golftyn 3,1475,
W01000278,Connah's Quay Golftyn 4,230,
W01000279,Connah's Quay South 1,1411,
W01000280,Connah's Quay South 2,1410,
W01000281,Connah's Quay South 3,1448,
W01000282,Connah's Quay South 4,1852,
W01000283,Connah's Quay Wepre,938,
W01000284,Ewloe 1,1690,
W01000285,Ewloe 2,1782,
W01000286,Ewloe 3,1677,
W01000287,Ffynnongroyw,507,
W01000288,Flint Castle,311,
W01000289,Flint Coleshill 1,1583,
W01000290,Flint Coleshill 2,343,
W01000291,Flint Coleshill 3,1070,
W01000292,Flint Oakenholt 1,392,
W01000293,Flint Oakenholt 2,595,
W01000294,Flint Trelawny 1,1390,
W01000295,Flint Trelawny 2,1284,
W01000296,Greenfield 1,239,
W01000297,Greenfield 2,1078,
W01000298,Gronant,449,
W01000299,Gwernaffield,1625,
W01000300,Gwernymynydd,1582,
W01000301,Halkyn,1471,
W01000302,Hawarden,1838,
W01000303,Higher Kinnerton,1868,
W01000304,Holywell Central,155,
W01000305,Holywell East,964,
W01000306,Holywell West,636,
W01000307,Hope 1,1816,
W01000308,Hope 2,1287,
W01000309,Leeswood,1064,
W01000310,Llanfynydd,1455,
W01000311,Mancot 1,1184,
W01000312,Mancot 2,650,
W01000313,Mold Broncoed 1,1067,
W01000314,Mold Broncoed 2,470,
W01000315,Mold East,1014,
W01000316,Mold South 1,1775,
W01000317,Mold South 2,1896,
W01000318,Mold West 1,231,
W01000319,Mold West 2,919,
W01000320,Mostyn (Flintshire),535,
W01000321,New Brighton 1,1871,
W01000322,New Brighton 2,1585,
W01000323,Northop 1,1671,
W01000324,Northop 2,1825,
W01000325,Northop Hall,1743,
W01000326,Penyffordd 1,1758,
W01000327,Penyffordd 2,1762,
W01000328,Queensferry,360,
W01000329,Saltney Mold Junction,628,
W01000330,Saltney Stonebridge 1,719,
W01000331,Saltney Stonebridge 2,1237,
W01000332,Sealand 1,709,
W01000333,Sealand 2,261,
W01000334,Shotton East,702,
W01000335,Shotton Higher 1,285,
W01000336,Shotton Higher 2,82,
W01000337,Shotton West,927,
W01000338,Trelawnyd and Gwaenysgor,1205,
W01000339,Treuddyn,1272,
W01000340,Whitford,1557,
W01000341,Acton 1,1155,
W01000342,Acton 2,492,
W01000343,Borras Park 1,1901,
W01000344,Borras Park 2,1810,
W01000345,Bronington 1,1479,
W01000346,Bronington 2,1565,
W01000347,Brymbo 1,1378,
W01000348,Brymbo 2,592,
W01000349,Brynyffynnon 1,971,
W01000350,Brynyffynnon 2,506,
W01000351,Bryn Cefn,1016,
W01000352,Cartrefle 1,579,
W01000353,Cartrefle 2,128,
W01000354,Cefn 1,1192,
W01000355,Cefn 2,476,
W01000356,Cefn 3,432,
W01000359,Chirk North 1,1330,
W01000360,Chirk North 2,513,
