LAD19CD,LAD19NM,RGN19CD,RGN19NM,FID
E09000001,City of London,E12000007,London,1
E06000054,Wiltshire,E12000009,South West,2
E09000002,Barking and Dagenham,E12000007,London,3
E09000003,Barnet,E12000007,London,4
E09000004,Bexley,E12000007,London,5
E09000005,Brent,E12000007,London,6
E09000006,Bromley,E12000007,London,7
E09000007,Camden,E12000007,London,8
E09000008,Croydon,E12000007,London,9
E09000009,Ealing,E12000007,London,10
E09000010,Enfield,E12000007,London,11
E06000031,Peterborough,E12000006,East of England,12
E06000032,Luton,E12000006,East of England,13
E09000011,Greenwich,E12000007,London,14
E09000012,Hackney,E12000007,London,15
E06000055,Bedford,E12000006,East of England,16
E06000056,Central Bedfordshire,E12000006,East of England,17
E09000013,Hammersmith and Fulham,E12000007,London,18
E09000014,Haringey,E12000007,London,19
E06000033,Southend-on-Sea,E12000006,East of England,20
E06000034,Thurrock,E12000006,East of England,21
E09000015,Harrow,E12000007,London,22
E09000016,Havering,E12000007,London,23
E06000035,Medway,E12000008,South East,24
E06000036,Bracknell Forest,E12000008,South East,25
E09000017,Hillingdon,E12000007,London,26
E09000018,Hounslow,E12000007,London,27
E06000037,West Berkshire,E12000008,South East,28
E09000019,Islington,E12000007,London,29
E09000020,Kensington and Chelsea,E12000007,London,30
E06000038,Reading,E12000008,South East,31
E06000039,Slough,E12000008,South East,32
E09000021,Kingston upon Thames,E12000007,London,33
E09000022,Lambeth,E12000007,London,34
E06000040,Windsor and Maidenhead,E12000008,South East,35
E06000041,Wokingham,E12000008,South East,36
E09000023,Lewisham,E12000007,London,37
E09000024,Merton,E12000007,London,38
E06000042,Milton Keynes,E12000008,South East,39
E07000176,Rushcliffe,E12000004,East Midlands,40
E06000043,Brighton and Hove,E12000008,South East,41
E09000025,Newham,E12000007,London,42
E07000177,Cherwell,E12000008,South East,43
E06000044,Portsmouth,E12000008,South East,44
E09000026,Redbridge,E12000007,London,45
E07000178,Oxford,E12000008,South East,46
E06000045,Southampton,E12000008,South East,47
E09000027,Richmond upon Thames,E12000007,London,48
E07000179,South Oxfordshire,E12000008,South East,49
E06000046,Isle of Wight,E12000008,South East,50
E09000028,Southwark,E12000007,London,51
E07000180,Vale of White Horse,E12000008,South East,52
E07000004,Aylesbury Vale,E12000008,South East,53
E09000029,Sutton,E12000007,London,54
E07000181,West Oxfordshire,E12000008,South East,55
E07000005,Chiltern,E12000008,South East,56
E07000006,South Bucks,E12000008,South East,57
E07000187,Mendip,E12000009,South West,58
E09000030,Tower Hamlets,E12000007,London,59
E09000031,Waltham Forest,E12000007,London,60
E07000007,Wycombe,E12000008,South East,61
E07000188,Sedgemoor,E12000009,South West,62
E07000189,South Somerset,E12000009,South West,63
E07000008,Cambridge,E12000006,East of England,64
E09000032,Wandsworth,E12000007,London,65
E09000033,Westminster,E12000007,London,66
E07000009,East Cambridgeshire,E12000006,East of England,67
E07000246,Somerset West and Taunton,E12000009,South West,68
E07000192,Cannock Chase,E12000005,West Midlands,69
E07000010,Fenland,E12000006,East of England,70
E08000001,Bolton,E12000002,North West,71
E08000002,Bury,E12000002,North West,72
E07000011,Huntingdonshire,E12000006,East of England,73
E07000193,East Staffordshire,E12000005,West Midlands,74
E08000003,Manchester,E12000002,North West,75
E07000012,South Cambridgeshire,E12000006,East of England,76
E07000026,Allerdale,E12000002,North West,77
E07000027,Barrow-in-Furness,E12000002,North West,78
E07000028,Carlisle,E12000002,North West,79
E07000029,Copeland,E12000002,North West,80
E07000030,Eden,E12000002,North West,81
E07000031,South Lakeland,E12000002,North West,82
E07000032,Amber Valley,E12000004,East Midlands,83
E07000033,Bolsover,E12000004,East Midlands,84
E07000034,Chesterfield,E12000004,East Midlands,85
E07000035,Derbyshire Dales,E12000004,East Midlands,86
E07000036,Erewash,E12000004,East Midlands,87
E07000037,High Peak,E12000004,East Midlands,88
E07000038,North East Derbyshire,E12000004,East Midlands,89
E07000039,South Derbyshire,E12000004,East Midlands,90
E07000040,East Devon,E12000009,South West,91
E07000041,Exeter,E12000009,South West,92
E07000042,Mid Devon,E12000009,South West,93
E07000043,North Devon,E12000009,South West,94
E07000044,South Hams,E12000009,South West,95
E07000045,Teignbridge,E12000009,South West,96
E07000046,Torridge,E12000009,South West,97
E07000047,West Devon,E12000009,South West,98
E07000061,Eastbourne,E12000008,South East,99
E07000062,Hastings,E12000008,South East,100
E07000063,Lewes,E12000008,South East,101
E08000004,Oldham,E12000002,North West,102
E08000005,Rochdale,E12000002,North West,103
E08000006,Salford,E12000002,North West,104
E08000007,Stockport,E12000002,North West,105
E08000008,Tameside,E12000002,North West,106
E08000009,Trafford,E12000002,North West,107
E08000010,Wigan,E12000002,North West,108
E08000011,Knowsley,E12000002,North West,109
E08000012,Liverpool,E12000002,North West,110
