DatazoneID,2013URPop,TA2013,TA2013Name,GED2014,GED2014Name,DHB12,DHB2012Name,IMDRank,EmpRank,IncRank,CriRank,HouRank,HlthRank,EduRank,AccRank,IMDNoEmpR,IMDNoIncR,IMDNoCriR,IMDNoHouR,IMDNoHlthR,IMDNoEduR,IMDNoAccR,IMDRankD,EmpRankD,IncRankD,CriRankD,HouRankD,HlthRankD,EduRankD,AccRankD,IMDNoEmpD,IMDNoIncD,IMDNoCriD,IMDNoHouD,IMDNoHlthD,IMDNoEduD,IMDNoAccD
100001,951,1,Far North District,35,Northland,1,Northland,5108,5520.0,4096,2688.5,4504.0,4464,5500,5879,4811,5361,5152,5152,5165,4979,5027,9,10,7,5,8,8,10,10,9,9,9,9,9,9,9
100002,543,1,Far North District,35,Northland,1,Northland,5086,5543.0,4194,5325.5,4116.0,4924,4739,5554,4711,5308,5051,5051,5091,5110,5034,9,10,8,9,7,9,8,10,8,9,9,9,9,9,9
100003,522,1,Far North District,35,Northland,1,Northland,5525,5784.0,5559,4787.5,3775.0,3976,5347,5519,5268,5491,5527,5527,5654,5522,5498,10,10,10,9,7,7,9,10,9,10,10,10,10,10,10
100004,786,1,Far North District,35,Northland,1,Northland,4800,5221.0,4277,3280.0,3370.0,2802,5542,5834,4565,4985,4840,4840,4997,4547,4718,9,9,8,6,6,5,10,10,8,9,9,9,9,8,8
100005,567,1,Far North District,35,Northland,1,Northland,3605,2595.5,3799,3900.0,3273.0,2899,4713,5561,3960,3549,3604,3604,3742,3337,3516,7,5,7,7,6,5,8,10,7,6,7,7,7,6,6
100006,702,1,Far North District,35,Northland,1,Northland,5003,5556.0,4581,3280.0,4230.0,2774,5184,5653,4556,5137,5043,5043,5174,4925,4937,9,10,8,6,8,5,9,10,8,9,9,9,9,9,9
100007,603,1,Far North District,35,Northland,1,Northland,5917,5942.0,5904,5398.0,5614.0,5501,5750,3166,5869,5914,5920,5920,5927,5926,5918,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10
100008,876,1,Far North District,35,Northland,1,Northland,5835,5829.5,5742,5512.5,5485.0,5337,5851,3783,5780,5861,5824,5824,5864,5805,5833,10,10,10,10,10,9,10,7,10,10,10,10,10,10,10
100009,807,1,Far North District,35,Northland,1,Northland,3879,4615.0,3704,3480.0,2666.0,1330,4318,5112,3420,3944,3897,3897,4146,3774,3819,7,8,7,6,5,3,8,9,6,7,7,7,7,7,7
100010,633,1,Far North District,35,Northland,1,Northland,5929,5888.0,5867,5842.5,5184.0,5944,5808,2480,5926,5936,5925,5925,5907,5933,5929,10,10,10,10,9,10,10,5,10,10,10,10,10,10,10
100011,588,1,Far North District,35,Northland,1,Northland,5709,5744.0,5723,5617.0,4718.0,4989,5663,2843,5625,5665,5685,5685,5755,5687,5710,10,10,10,10,8,9,10,5,10,10,10,10,10,10,10
100012,666,1,Far North District,35,Northland,1,Northland,4938,4846.0,5050,2681.0,4080.0,4201,5439,5345,4982,4861,4997,4997,5025,4780,4889,9,9,9,5,7,8,10,9,9,9,9,9,9,9,9
100013,606,1,Far North District,35,Northland,1,Northland,5923,5918.0,5848,5646.5,5276.0,5610,5946,4285,5894,5933,5915,5915,5923,5900,5917,10,10,10,10,9,10,10,8,10,10,10,10,10,10,10
100014,981,1,Far North District,35,Northland,1,Northland,4664,4349.5,4392,5092.0,4571.0,4759,5160,2230,4797,4748,4624,4624,4625,4511,4672,8,8,8,9,8,8,9,4,9,8,8,8,8,8,8
100015,603,1,Far North District,35,Northland,1,Northland,5294,4991.0,5615,5855.0,4412.0,4164,5238,3653,5401,5084,5224,5224,5415,5284,5289,9,9,10,10,8,7,9,7,10,9,9,9,10,9,9
100016,534,1,Far North District,35,Northland,1,Northland,5172,5440.0,4981,4999.0,4518.0,3853,5350,5310,5005,5229,5162,5162,5277,5118,5140,9,10,9,9,8,7,9,9,9,9,9,9,9,9,9
100017,507,1,Far North District,35,Northland,1,Northland,4047,4517.5,3900,3042.0,2490.0,1944,5002,4873,3796,4111,4092,4092,4288,3797,4002,7,8,7,6,5,4,9,9,7,7,7,7,8,7,7
100018,525,1,Far North District,35,Northland,1,Northland,5357,5811.5,4967,3383.0,5079.0,5006,3611,5864,4928,5520,5390,5390,5414,5499,5304,9,10,9,6,9,9,7,10,9,10,10,10,10,10,9
