GED,Party
Auckland Central,National
Bay of Plenty,National
Botany,National
Christchurch Central,Labour
Christchurch East,Labour
Clutha-Southland,National
Coromandel,National
Dunedin North,Labour
Dunedin South,Labour
East Coast,National 
East Coast Bays,National
Epsom,ACT
Hamilton East,National
Hamilton West,National
Helensville,National
Hunua,National
Hutt South,National
Ilam,National
Invercargill,National
Kaikoura,National
Kelston,Labour
Mana,Labour
Mangere,Labour
Manukau East,Labour
Manurewa,Labour
Maungakiekie,National
Mt Albert,Labour
Mt Roskill,Labour
Napier,Labour
Nelson,National
New Lynn,Labour
New Plymouth,National
North Shore,National
Northcote,National
Northland,National
Ohariu,Labour
Otaki,National
Pakuranga,National
Palmerston North,Labour
Papakura,National 
Port Hills,Labour
Rangitata,National
Rangitikei,National
Rimutaka,Labour
Rodney,National
Rongotai,Labour
Rotorua,National
Selwyn,National
Tamaki,National
Taranaki-King Country,National
Taupo,National
Tauranga,National
Te Atatu,Labour
Tukituki,National
Upper Harbour,National
Waikato,National
Waimakariri,National
Wairarapa,National
Waitaki,National
Wellington Central,Labour
West Coast-Tasman,Labour
Whanganui,National
Whangarei,National
Wigram,Labour
