dzlabel,dzcode,lalabel,rank,vigintile,pconlabel
Culter - 01,S01006506,Aberdeen City,,14,Aberdeen South and North Kincardine
Culter - 02,S01006507,Aberdeen City,,14,Aberdeen South and North Kincardine
Culter - 03,S01006508,Aberdeen City,,17,Aberdeen South and North Kincardine
Culter - 04,S01006509,Aberdeen City,,13,Aberdeen South and North Kincardine
Culter - 05,S01006510,Aberdeen City,,12,Aberdeen South and North Kincardine
Culter - 06,S01006511,Aberdeen City,,18,Aberdeen South and North Kincardine
Culter - 07,S01006512,Aberdeen City,,17,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 01",S01006513,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 02",S01006514,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 03",S01006515,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 04",S01006516,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 05",S01006517,Aberdeen City,,17,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 01",S01006518,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 02",S01006519,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 03",S01006520,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 04",S01006521,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 05",S01006522,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 06",S01006523,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 07",S01006524,Aberdeen City,,12,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 08",S01006525,Aberdeen City,,18,Aberdeen South and North Kincardine
Garthdee - 01,S01006526,Aberdeen City,,8,Aberdeen South and North Kincardine
Garthdee - 02,S01006527,Aberdeen City,,6,Aberdeen South and North Kincardine
Garthdee - 03,S01006528,Aberdeen City,,12,Aberdeen South and North Kincardine
Garthdee - 04,S01006529,Aberdeen City,,12,Aberdeen South and North Kincardine
Garthdee - 05,S01006530,Aberdeen City,,7,Aberdeen South and North Kincardine
Garthdee - 06,S01006531,Aberdeen City,,5,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield East - 01",S01006532,Aberdeen City,,17,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 02",S01006533,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield East - 03",S01006534,Aberdeen City,,20,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 04",S01006535,Aberdeen City,,20,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 05",S01006536,Aberdeen City,,17,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield South - 01",S01006537,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 02",S01006538,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 03",S01006539,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 04",S01006540,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 05",S01006541,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 01",S01006542,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 02",S01006543,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 03",S01006544,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 04",S01006545,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 05",S01006546,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 01,S01006547,Aberdeen City,,11,Aberdeen South and North Kincardine
Hazlehead - 02,S01006548,Aberdeen City,,19,Aberdeen South and North Kincardine
Hazlehead - 03,S01006549,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 04,S01006550,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 05,S01006551,Aberdeen City,,5,Aberdeen South and North Kincardine
Hazlehead - 06,S01006552,Aberdeen City,,18,Aberdeen South and North Kincardine
Summerhill - 01,S01006553,Aberdeen City,,15,Aberdeen South and North Kincardine
Summerhill - 02,S01006554,Aberdeen City,,12,Aberdeen Donside
Summerhill - 03,S01006555,Aberdeen City,,5,Aberdeen Donside
Summerhill - 04,S01006556,Aberdeen City,,7,Aberdeen Donside
Summerhill - 05,S01006557,Aberdeen City,,5,Aberdeen Donside
Midstocket - 01,S01006558,Aberdeen City,,20,Aberdeen Central
Midstocket - 02,S01006559,Aberdeen City,,20,Aberdeen Central
Midstocket - 03,S01006560,Aberdeen City,,20,Aberdeen Central
Midstocket - 04,S01006561,Aberdeen City,,20,Aberdeen Central
Midstocket - 05,S01006562,Aberdeen City,,14,Aberdeen Central
Midstocket - 06,S01006563,Aberdeen City,,15,Aberdeen Central
Rosemount - 01,S01006564,Aberdeen City,,11,Aberdeen Central
Rosemount - 02,S01006565,Aberdeen City,,12,Aberdeen Central
Rosemount - 03,S01006566,Aberdeen City,,18,Aberdeen Central
Rosemount - 04,S01006567,Aberdeen City,,9,Aberdeen Central
Rosemount - 05,S01006568,Aberdeen City,,18,Aberdeen Central
Rosemount - 06,S01006569,Aberdeen City,,16,Aberdeen Central
Rosemount - 07,S01006570,Aberdeen City,,20,Aberdeen Central
West End North - 01,S01006571,Aberdeen City,,19,Aberdeen Central
West End North - 02,S01006572,Aberdeen City,,20,Aberdeen Central
West End North - 03,S01006573,Aberdeen City,,20,Aberdeen Central
West End North - 04,S01006574,Aberdeen City,,20,Aberdeen Central
West End South - 01,S01006575,Aberdeen City,,20,Aberdeen Central
West End South - 02,S01006576,Aberdeen City,,19,Aberdeen Central
West End South - 03,S01006577,Aberdeen City,,20,Aberdeen Central
West End South - 04,S01006578,Aberdeen City,,17,Aberdeen Central
