"","FeatureCode","DateCode","Measurement","Units","Value","Indices of Deprivation"
"1","E06000014",2019,"Rank of average rank",NA,161,"h. Living Environment Deprivation Domain"
"2","E06000015",2019,"Rank of average rank",NA,131,"h. Living Environment Deprivation Domain"
"3","E06000012",2019,"Rank of average rank",NA,92,"h. Living Environment Deprivation Domain"
"4","E06000013",2019,"Rank of average rank",NA,201,"h. Living Environment Deprivation Domain"
"5","E06000017",2019,"Rank of average rank",NA,202,"h. Living Environment Deprivation Domain"
"6","E06000018",2019,"Rank of average rank",NA,45,"h. Living Environment Deprivation Domain"
"7","E06000016",2019,"Rank of average rank",NA,70,"h. Living Environment Deprivation Domain"
"8","E06000007",2019,"Rank of average rank",NA,190,"h. Living Environment Deprivation Domain"
"9","E06000008",2019,"Rank of average rank",NA,47,"h. Living Environment Deprivation Domain"
"10","E06000006",2019,"Rank of average rank",NA,147,"h. Living Environment Deprivation Domain"
"11","E06000010",2019,"Rank of average rank",NA,31,"h. Living Environment Deprivation Domain"
"12","E06000011",2019,"Rank of average rank",NA,182,"h. Living Environment Deprivation Domain"
"13","E06000009",2019,"Rank of average rank",NA,15,"h. Living Environment Deprivation Domain"
"14","E06000026",2019,"Rank of average rank",NA,79,"h. Living Environment Deprivation Domain"
"15","E06000027",2019,"Rank of average rank",NA,134,"h. Living Environment Deprivation Domain"
"16","E06000025",2019,"Rank of average rank",NA,298,"h. Living Environment Deprivation Domain"
"17","E06000031",2019,"Rank of average rank",NA,172,"h. Living Environment Deprivation Domain"
"18","E07000010",2019,"Rank of average rank",NA,204,"h. Living Environment Deprivation Domain"
"19","E06000030",2019,"Rank of average rank",NA,238,"h. Living Environment Deprivation Domain"
"20","E06000020",2019,"Rank of average rank",NA,293,"h. Living Environment Deprivation Domain"
"21","E06000021",2019,"Rank of average rank",NA,98,"h. Living Environment Deprivation Domain"
"22","E06000019",2019,"Rank of average rank",NA,42,"h. Living Environment Deprivation Domain"
"23","E06000023",2019,"Rank of average rank",NA,96,"h. Living Environment Deprivation Domain"
"24","E06000024",2019,"Rank of average rank",NA,295,"h. Living Environment Deprivation Domain"
"25","E06000022",2019,"Rank of average rank",NA,246,"h. Living Environment Deprivation Domain"
"26","E06000045",2019,"Rank of average rank",NA,27,"h. Living Environment Deprivation Domain"
"27","E06000046",2019,"Rank of average rank",NA,59,"h. Living Environment Deprivation Domain"
"28","E06000043",2019,"Rank of average rank",NA,87,"h. Living Environment Deprivation Domain"
"29","E06000044",2019,"Rank of average rank",NA,5,"h. Living Environment Deprivation Domain"
"30","E06000049",2019,"Rank of average rank",NA,194,"h. Living Environment Deprivation Domain"
"31","E06000050",2019,"Rank of average rank",NA,157,"h. Living Environment Deprivation Domain"
"32","E06000047",2019,"Rank of average rank",NA,313,"h. Living Environment Deprivation Domain"
"33","E06000038",2019,"Rank of average rank",NA,113,"h. Living Environment Deprivation Domain"
"34","E06000039",2019,"Rank of average rank",NA,89,"h. Living Environment Deprivation Domain"
"35","E06000037",2019,"Rank of average rank",NA,230,"h. Living Environment Deprivation Domain"
"36","E06000041",2019,"Rank of average rank",NA,309,"h. Living Environment Deprivation Domain"
"37","E06000042",2019,"Rank of average rank",NA,286,"h. Living Environment Deprivation Domain"
"38","E06000040",2019,"Rank of average rank",NA,235,"h. Living Environment Deprivation Domain"
"39","E06000001",2019,"Rank of average rank",NA,307,"h. Living Environment Deprivation Domain"
"40","E06000002",2019,"Rank of average rank",NA,262,"h. Living Environment Deprivation Domain"
"41","E06000057",2019,"Rank of average rank",NA,302,"h. Living Environment Deprivation Domain"
"42","E06000004",2019,"Rank of average rank",NA,312,"h. Living Environment Deprivation Domain"
"43","E06000005",2019,"Rank of average rank",NA,300,"h. Living Environment Deprivation Domain"
"44","E06000003",2019,"Rank of average rank",NA,306,"h. Living Environment Deprivation Domain"
"45","E06000052",2019,"Rank of average rank",NA,23,"h. Living Environment Deprivation Domain"
"46","E06000053",2019,"Rank of average rank",NA,1,"h. Living Environment Deprivation Domain"
"47","E06000051",2019,"Rank of average rank",NA,76,"h. Living Environment Deprivation Domain"
"48","E06000055",2019,"Rank of average rank",NA,137,"h. Living Environment Deprivation Domain"
"49","E06000056",2019,"Rank of average rank",NA,221,"h. Living Environment Deprivation Domain"
"50","E06000054",2019,"Rank of average rank",NA,187,"h. Living Environment Deprivation Domain"
"51","E07000215",2019,"Rank of average rank",NA,169,"h. Living Environment Deprivation Domain"
"52","E07000216",2019,"Rank of average rank",NA,292,"h. Living Environment Deprivation Domain"
"53","E07000213",2019,"Rank of average rank",NA,75,"h. Living Environment Deprivation Domain"
"54","E07000214",2019,"Rank of average rank",NA,288,"h. Living Environment Deprivation Domain"
"55","E07000218",2019,"Rank of average rank",NA,97,"h. Living Environment Deprivation Domain"
"56","E07000219",2019,"Rank of average rank",NA,151,"h. Living Environment Deprivation Domain"
"57","E07000217",2019,"Rank of average rank",NA,242,"h. Living Environment Deprivation Domain"
"58","E07000208",2019,"Rank of average rank",NA,225,"h. Living Environment Deprivation Domain"
"59","E07000209",2019,"Rank of average rank",NA,210,"h. Living Environment Deprivation Domain"
"60","E07000207",2019,"Rank of average rank",NA,240,"h. Living Environment Deprivation Domain"
"61","E07000211",2019,"Rank of average rank",NA,175,"h. Living Environment Deprivation Domain"
"62","E07000212",2019,"Rank of average rank",NA,136,"h. Living Environment Deprivation Domain"
"63","E07000210",2019,"Rank of average rank",NA,186,"h. Living Environment Deprivation Domain"
"64","E07000227",2019,"Rank of average rank",NA,217,"h. Living Environment Deprivation Domain"
"65","E07000228",2019,"Rank of average rank",NA,279,"h. Living Environment Deprivation Domain"
"66","E07000226",2019,"Rank of average rank",NA,207,"h. Living Environment Deprivation Domain"
"67","E07000234",2019,"Rank of average rank",NA,271,"h. Living Environment Deprivation Domain"
"68","E07000235",2019,"Rank of average rank",NA,74,"h. Living Environment Deprivation Domain"
"69","E07000229",2019,"Rank of average rank",NA,57,"h. Living Environment Deprivation Domain"
"70","E07000221",2019,"Rank of average rank",NA,100,"h. Living Environment Deprivation Domain"
"71","E07000222",2019,"Rank of average rank",NA,171,"h. Living Environment Deprivation Domain"
"72","E07000220",2019,"Rank of average rank",NA,168,"h. Living Environment Deprivation Domain"
"73","E07000224",2019,"Rank of average rank",NA,239,"h. Living Environment Deprivation Domain"
"74","E07000225",2019,"Rank of average rank",NA,107,"h. Living Environment Deprivation Domain"
"75","E07000223",2019,"Rank of average rank",NA,116,"h. Living Environment Deprivation Domain"
"76","E07000032",2019,"Rank of average rank",NA,196,"h. Living Environment Deprivation Domain"
"77","E07000033",2019,"Rank of average rank",NA,218,"h. Living Environment Deprivation Domain"
"78","E07000030",2019,"Rank of average rank",NA,21,"h. Living Environment Deprivation Domain"
"79","E07000031",2019,"Rank of average rank",NA,43,"h. Living Environment Deprivation Domain"
"80","E07000240",2019,"Rank of average rank",NA,275,"h. Living Environment Deprivation Domain"
"81","E07000241",2019,"Rank of average rank",NA,256,"h. Living Environment Deprivation Domain"
"82","E07000034",2019,"Rank of average rank",NA,301,"h. Living Environment Deprivation Domain"
"83","E07000012",2019,"Rank of average rank",NA,258,"h. Living Environment Deprivation Domain"
"84","E07000026",2019,"Rank of average rank",NA,91,"h. Living Environment Deprivation Domain"
"85","E07000011",2019,"Rank of average rank",NA,208,"h. Living Environment Deprivation Domain"
"86","E07000028",2019,"Rank of average rank",NA,167,"h. Living Environment Deprivation Domain"
